id,polarity,polarity_confidence,subjectivity,subjectivity_confidence,text
815270850916208644,positive,0.99666827917099,objective,0.999980071145046,Happy Birthday @DonaldJTrumpJr!
815185071317676033,negative,0.7804264426231384,subjective,1.0,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!"
814958820980039681,negative,0.5408462285995483,subjective,1.0,"Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!"
814920722208296960,neutral,0.8937586545944214,objective,0.9999998972701215,"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.Åc"
